# raw CPAP telemetry
T,486957,6.92,0.43,0
T,486977,6.93,0.05,0
T,486997,6.91,-0.59,0
T,487017,6.89,-1.07,0
T,487037,6.89,-1.17,0
T,487057,6.87,-1.22,0
T,487077,6.83,-1.32,0
T,487097,6.88,0.17,0
T,487117,6.83,1.89,0
T,487137,6.95,1.79,0
T,487157,6.91,1.81,0
T,487177,6.91,1.32,0
T,487197,6.93,0.59,0
T,487217,6.95,-0.18,0
T,487237,6.98,-0.25,0
T,487257,6.93,-0.62,0
T,487277,6.91,0.51,0
T,487297,6.90,0.39,0
T,487317,6.89,0.24,0
T,487337,6.91,-0.37,0
T,487357,6.90,0.03,0
T,487377,6.89,0.30,0
T,487397,6.90,-0.08,0
T,487417,6.94,-0.12,0
T,487437,6.88,-0.20,0
T,487457,6.90,0.57,0
T,487477,6.86,0.69,0
T,487497,6.91,0.29,0
T,487517,6.85,0.54,0
T,487537,6.90,0.02,0
T,487557,6.92,0.02,0
T,487577,6.93,-0.37,0
T,487597,6.93,-0.51,0
T,487617,6.85,-1.15,0
T,487637,6.90,0.03,0
T,487657,6.91,0.68,0
T,487677,6.84,0.51,0
T,487697,6.95,-0.06,0
T,487717,6.94,-0.37,0
T,487737,6.88,-0.16,0
T,487757,6.92,0.64,0
T,487777,6.88,0.49,0
T,487797,6.94,0.91,0
T,487817,6.88,0.03,0
T,487837,6.84,0.89,0
T,487857,6.90,0.40,0
T,487877,6.88,-0.08,0
T,487897,6.89,0.18,0
T,487917,6.79,1.32,0
T,487937,6.91,1.70,0
T,487957,6.90,1.26,0
T,487977,6.91,1.07,0
T,487997,6.90,0.59,0
T,488017,6.89,0.05,0
T,488037,6.93,-0.40,0
T,488057,6.90,-0.77,0
T,488077,6.89,-0.42,0
T,488097,6.93,0.33,0
T,488117,6.91,1.10,0
T,488137,6.89,1.14,0
T,488157,6.85,1.04,0
T,488177,6.86,0.34,0
T,488197,6.94,0.68,0
T,488217,6.88,0.75,0
T,488237,6.90,0.88,0
T,488257,6.99,0.92,0
T,488277,6.87,1.81,0
T,488297,6.85,2.42,0
T,488317,6.90,2.17,0
T,488337,6.89,1.67,0
T,488357,6.94,0.93,0
T,488377,6.88,0.65,0
T,488397,6.92,0.10,0
T,488417,6.91,0.31,0
T,488437,6.90,0.05,0
T,488457,6.92,0.23,0
T,488477,6.86,0.98,0
T,488497,6.93,0.62,0
T,488517,6.91,0.54,0
T,488537,6.86,-0.01,0
T,488557,6.87,-0.09,0
T,488577,6.89,-0.21,0
T,488597,6.92,-0.69,0
T,488617,6.89,-1.03,0
T,488637,6.90,-1.48,0
T,488657,6.90,-0.98,0
T,488677,6.87,-0.71,0
T,488697,6.91,-0.11,0
T,488717,6.89,-0.21,0
T,488737,6.87,-0.32,0
T,488757,6.94,-0.43,0
T,488777,6.86,-0.78,0
T,488797,6.89,-0.76,0
T,488817,6.85,-0.92,0
T,488837,6.89,0.93,0
T,488857,6.87,1.18,0
T,488877,6.91,0.90,0
T,488897,6.86,0.54,0
T,488917,6.91,2.13,0
T,488937,6.93,2.48,0
T,488957,6.95,1.70,0
T,488977,6.93,0.96,0
T,488997,6.89,0.21,0
T,489017,6.87,0.49,0
T,489037,6.88,0.12,0
T,489057,6.92,0.48,0
T,489077,6.91,-0.03,0
T,489097,6.87,0.24,0
T,489117,6.91,0.24,0
T,489137,6.93,0.14,0
T,489157,6.88,0.22,0
T,489177,6.90,1.35,0
T,489197,6.99,2.39,0
T,489217,6.88,2.43,0
T,489237,6.86,2.10,0
T,489257,6.91,1.91,0
T,489277,6.92,1.91,0
T,489297,6.98,1.59,0
